start	end	text
0	6880	Let's say we can have a community, today I can, okay from the registration you have at the embassy
6880	11040	because all of them they're not even going there to register and all of them they're supposed to
11040	21760	do that but no. We are around let's say 600, 600 in Lagos here but you have some in some other
21760	27440	states like you have the consulate now is a new consulate and even this consulate we are the one
27520	33120	at the association that requested from our government to put a consulate here so that people
33120	38240	can go and do their papers there to understand because before we had to rely on the embassy
38240	46400	embassy which is in Labriger and there was just a liaison office economic liaison office here
46400	51520	that was helping with those things but we didn't hire we have to do it so that people can get the
52320	57520	right you know so you have six other states that vary from Lagos
58480	60800	you have ocean state, oil state
68880	73840	I'm getting those six in fact in the south here okay yeah
74160	89520	so it's basically the south west? Yes basically the south west
91920	98160	the east side they depend on Lagos and very soon we're going to have another one another
98160	104480	consulate that coming for the not people
