start	end	text
0	3680	They are playing on the ignorance of people, you know.
3680	6640	Maybe it's because, okay, not probably because I'm a journalist,
6640	8160	but because I'm a lawyer in training.
8160	17520	So I know the rules, and I know that when you are in a coarser citizen,
17520	21680	there's nothing like payment, even to sign, you know,
21680	24800	to stamp your passport for you to cross, you know,
24800	27840	all those kinds of things, provided that you have all your documentations
27920	31760	and all your medical stuff, you're free to move.
31760	34480	But they are not doing that, you know, the borders.
34480	37840	And I always fight because I don't want to pay,
37840	39680	and I don't want not only me to pay,
39680	41440	but even people around me are telling them,
41440	44160	you are not paying, okay, sign this thing, let it go.
46240	48960	I became friends with a lot of them later because, you know,
48960	52080	they are like, ah, Mr. Jonathan, when I come, ah, bring this thing,
52080	54800	you know, they go, they go, they go, they go, they go.
54960	56800	Don't spoil it, well, you know, no, don't spoil it,
56800	58560	but I can't tell you, I'll tell you, go.
58560	59360	So...
